"","x"
"1","hsa-miR-133a-3p"
"2","hsa-miR-135a-5p"
"3","hsa-miR-135b-3p"
"4","hsa-miR-135b-5p"
"5","hsa-miR-137"
"6","hsa-miR-138-5p"
"7","hsa-miR-139-3p"
"8","hsa-miR-139-5p"
"9","hsa-miR-140-3p"
"10","hsa-miR-140-5p"
"11","hsa-miR-141-3p"
"12","hsa-miR-141-5p"
"13","hsa-miR-142-3p"
"14","hsa-miR-142-5p"
"15","hsa-miR-143-3p"
"16","hsa-miR-143-5p"
"17","hsa-miR-144-3p"
"18","hsa-miR-144-5p"
"19","hsa-miR-145-3p"
"20","hsa-miR-145-5p"
"21","hsa-miR-146a-3p"
"22","hsa-miR-146a-5p"
"23","hsa-miR-146b-5p"
"24","hsa-miR-147a"
"25","hsa-miR-148a-3p"
"26","hsa-miR-148b-3p"
"27","hsa-miR-148b-5p"
"28","hsa-miR-149-3p"
"29","hsa-miR-149-5p"
"30","hsa-miR-150-3p"
"31","hsa-miR-150-5p"
"32","hsa-miR-151a-5p"
"33","hsa-miR-152-3p"
"34","hsa-miR-153-3p"
"35","hsa-miR-154-5p"
"36","hsa-miR-155-3p"
"37","hsa-miR-155-5p"
"38","hsa-miR-15a-3p"
"39","hsa-miR-15a-5p"
"40","hsa-miR-15b-5p"
"41","hsa-miR-16-1-3p"
"42","hsa-miR-16-2-3p"
"43","hsa-miR-16-5p"
"44","hsa-miR-17-3p"
"45","hsa-miR-17-5p"
"46","hsa-miR-181a-5p"
"47","hsa-miR-181b-5p"
"48","hsa-miR-181c-5p"
"49","hsa-miR-181d-5p"
"50","hsa-miR-182-5p"
"51","hsa-miR-183-5p"
"52","hsa-miR-184"
"53","hsa-miR-185-5p"
"54","hsa-miR-186-5p"
"55","hsa-miR-187-3p"
"56","hsa-miR-187-5p"
"57","hsa-miR-188-3p"
"58","hsa-miR-188-5p"
"59","hsa-miR-18a-5p"
"60","hsa-miR-18b-5p"
"61","hsa-miR-191-5p"
"62","hsa-miR-192-5p"
"63","hsa-miR-193a-3p"
"64","hsa-miR-193a-5p"
"65","hsa-miR-193b-5p"
"66","hsa-miR-194-3p"
"67","hsa-miR-194-5p"
"68","hsa-miR-196a-5p"
"69","hsa-miR-196b-5p"
"70","hsa-miR-197-3p"
"71","hsa-miR-199a-3p"
"72","hsa-miR-199a-5p"
"73","hsa-miR-199b-3p"
"74","hsa-miR-199b-5p"
"75","hsa-miR-19a-3p"
"76","hsa-miR-19a-5p"
"77","hsa-miR-19b-1-5p"
"78","hsa-miR-19b-3p"
"79","hsa-miR-200a-3p"
"80","hsa-miR-200a-5p"
"81","hsa-miR-200b-3p"
"82","hsa-miR-200b-5p"
"83","hsa-miR-200c-3p"
"84","hsa-miR-203a-3p"
"85","hsa-miR-204-5p"
"86","hsa-miR-205-5p"
"87","hsa-miR-206"
"88","hsa-miR-208a-3p"
"89","hsa-miR-20a-3p"
"90","hsa-miR-20a-5p"
"91","hsa-miR-20b-3p"
"92","hsa-miR-20b-5p"
"93","hsa-miR-21-3p"
"94","hsa-miR-21-5p"
"95","hsa-miR-210-3p"
"96","hsa-miR-211-5p"
"97","hsa-miR-212-3p"
"98","hsa-miR-215-5p"
"99","hsa-miR-216a-5p"
"100","hsa-miR-217"
"101","hsa-miR-218-1-3p"
"102","hsa-miR-218-2-3p"
"103","hsa-miR-218-5p"
"104","hsa-miR-219a-1-3p"
"105","hsa-miR-219a-2-3p"
"106","hsa-miR-219a-5p"
"107","hsa-miR-222-3p"
"108","hsa-miR-223-3p"
"109","hsa-miR-224-5p"
"110","hsa-miR-23b-3p"
"111","hsa-miR-24-1-5p"
"112","hsa-miR-24-2-5p"
"113","hsa-miR-24-3p"
"114","hsa-miR-25-3p"
"115","hsa-miR-25-5p"
"116","hsa-miR-26a-5p"
"117","hsa-miR-26b-5p"
"118","hsa-miR-27a-3p"
"119","hsa-miR-27a-5p"
"120","hsa-miR-27b-3p"
"121","hsa-miR-28-3p"
"122","hsa-miR-28-5p"
"123","hsa-miR-296-3p"
"124","hsa-miR-296-5p"
"125","hsa-miR-299-3p"
"126","hsa-miR-299-5p"
"127","hsa-miR-29a-3p"
"128","hsa-miR-29c-3p"
"129","hsa-miR-301a-3p"
"130","hsa-miR-302a-3p"
"131","hsa-miR-302b-3p"
"132","hsa-miR-302c-3p"
"133","hsa-miR-302d-3p"
"134","hsa-miR-302d-5p"
"135","hsa-miR-30a-3p"
"136","hsa-miR-30a-5p"
"137","hsa-miR-30c-1-3p"
